countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,ln_capital_factor_rel_us,residual,ln_y_abs,ln_yhat_with_A_abs_us_anchor,ln_yhat_without_A_abs_us_anchor
CHE,Switzerland,switzerland,Switzerland,2010,505411.15625,4.38947868347168,1993188.125,3.6348724365234375,1.44,2.77,62.59,33.2,0.0144,0.0277,0.6259,0.332,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7923983108386548,115141.49918374034,3.9436963358483443,3.6348724365234375,-0.02737902973545303,-0.06955340670907106,0.07318034436139054,-0.018232576070792428,-0.05119581059916823,0.018357596109902834,0.03659017218069526,0.0238167808637152,11.653917078674306,11.630100297810591,11.699653704519662
CHL,Chile,chile,Chile,2010,342195.9375,6.889198303222656,1132028.25,2.9787709712982178,2.95,22.0,56.97,18.08,0.0295,0.22,0.5697000000000001,0.1808,1.0000000000000002,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.536663889849019,49671.372841731994,3.3081288406587235,2.9787709712982178,-0.8681120614366051,-0.16560445437616556,-0.10255537085460187,-0.21729580361695033,-0.4341779434204168,-0.26857348904425127,-0.05127768542730093,-0.4339341180161883,10.813184046973154,11.247118164989342,11.412722619365507
CHN,China,china,China,2010,13847619.0,781.0355224609375,49973752.0,2.4410219192504883,6.59,28.09,61.75,3.58,0.0658934106589341,0.2808719128087191,0.6174382561743826,0.0357964203579642,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3256690346016176,17729.819709567142,3.6088335474856725,2.4410219192504883,-1.8982928780583421,-0.25244648844601214,-0.015553492370301125,-0.4163898223348089,-0.6766130569659716,-0.4241665685199595,-0.007776746185150562,-1.2216798210923705,9.783003230351417,11.004683051443788,11.2571295398898
CIV,Côte d'Ivoire,cote d ivoire,Cote dIvoire,2010,57416.21875,5.853764057159424,123600.3671875,1.5302809476852417,46.95,30.69,17.33,5.03,0.4695,0.3069,0.1732999999999999,0.0503,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.873121452792586,9808.427225517795,2.152708239559924,1.5302809476852417,-2.490298892300107,-0.46884797755987384,-0.532211399703847,-0.8833552488392925,-1.61830892625109,-1.149460948691216,-0.26610569985192345,-0.871989966049017,9.190997216109652,10.062987182158668,10.531835159718543
CMR,Cameroon,cameroon,Cameroon,2010,59721.0703125,8.527642250061035,160065.09375,1.8698792457580569,18.24,53.76,25.54,2.47,0.1823817618238176,0.5375462453754625,0.2553744625537446,0.0246975302469753,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.0041733155279156,7003.233550524772,2.680211404658924,1.8698792457580569,-2.827168851242547,-0.40122257863178634,-0.31304242171441543,-0.6829327390039812,-1.2406765284929753,-0.8394539498611889,-0.1565212108572077,-1.5864923227495717,8.854127257167212,10.440619579916785,10.84184215854857
COD,D.R. of the Congo,d r of the congo,Democratic Republic of the Congo,2010,45981.0234375,19.699716567993164,191153.921875,1.6226963996887207,44.18,33.42,21.22,1.18,0.4417999999999999,0.3342,0.2122,0.0118,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.8374494851282863,2334.0956850215307,4.157235041425887,1.6226963996887207,-3.9259163002503934,-0.4880757822688585,0.12591210432816502,-0.8247173834801407,-1.2498371135849167,-0.7617613313160582,0.0629560521640825,-2.676079186665477,7.755379808159366,10.431458994824842,10.9195347770937
COG,Congo,congo,Congo,2010,24714.2109375,1.4761216640472412,99944.21875,2.023773670196533,32.1,24.66,40.95,2.29,0.321,0.2466,0.4095,0.0229,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.064862623217052,16742.665282574606,4.043997965492399,2.023773670196533,-1.9555805606375731,-0.37139054499629687,0.09829570260366749,-0.6038426711773939,-0.926085364871857,-0.5546948198755601,0.04914785130183374,-1.0294951957657161,9.725715547772186,10.755210743537901,11.126601288534198
COL,Colombia,colombia,Colombia,2010,540688.4375,18.89134407043457,1768257.75,2.3859755992889404,7.93,35.75,36.57,19.76,0.0792920707929207,0.3574642535746425,0.3656634336566343,0.1975802419758024,1.0,1.0001,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.419199261485406,28620.961826966617,3.2703820303166737,2.3859755992889404,-1.4194014490517635,-0.2130176411783855,-0.11403128853332856,-0.4391984963193063,-0.7092317817643561,-0.4962141405859706,-0.05701564426666427,-0.7101696672874074,10.261894659357996,10.972064326645404,11.185081967823788
CRI,Costa Rica,costa rica,Costa Rica,2010,62831.0078125,1.9407755136489868,170760.609375,2.5200469493865967,5.48,52.12,23.56,18.84,0.0548,0.5212000000000001,0.2356,0.1884,1.0000000000000002,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3273548518883183,32374.175874863064,2.7177760682206946,2.5200469493865967,-1.296179765334605,-0.2517218769238755,-0.2991241715664882,-0.3845290612657747,-0.7858130239728942,-0.5340911470490187,-0.14956208578324406,-0.5103667413617107,10.385116343075154,10.895483084436865,11.14720496136074
CYP,Cyprus,cyprus,Cyprus,2010,26422.625,0.3456670939922333,162017.734375,2.722369432449341,0.86,23.3,44.95,30.89,0.0086,0.233,0.4495,0.3089,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.6610471414910615,76439.51495305968,6.131780410727549,2.722369432449341,-0.43704105553539385,-0.11773453536552736,0.514547054523173,-0.3073039773458941,-0.16776498544983504,-0.050030450084307676,0.2572735272615864,-0.26927607008555876,11.244255052874365,11.513531122959924,11.631265658325452
CZE,Czech Republic,czech republic,Czech Republic,2010,318896.5625,5.0989909172058105,1715475.0,3.6364033222198486,0.14,0.05,83.29,16.52,0.0014,0.0005,0.8329000000000001,0.1651999999999999,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.678706795259067,62541.112090223476,5.379408879642596,3.6364033222198486,-0.6377166954929709,-0.11112010392830052,0.3836403990032067,-0.017811498458053077,0.06288859711524972,0.17400870104355023,0.1918201995016033,-0.7006052926082207,11.043579412916788,11.744184705525008,11.85530480945331
DEU,Germany,germany,Germany,2010,3672402.0,40.63188171386719,15333157.0,3.653333187103272,1.84,1.64,72.25,24.27,0.0184,0.0163999999999999,0.7225,0.2427,1.0,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.7208706357483434,90382.27729302165,4.175239257575832,3.653333187103272,-0.2694926288929089,-0.09550232714589835,0.13023356840306355,-0.013166640499241877,-0.043552183443608464,0.05195014370228988,0.06511678420153176,-0.22594044544930048,11.41180347951685,11.63774392496615,11.73324625211205
