countrycode,country,year,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,Z_no_schooling,Z_primary,Z_secondary,Z_tertiary,tilde_A,y_observed,K_over_Y,h,ln_y_rel_us,ln_tilde_A_rel_us,ln_K_over_Y_rel_us,ln_capital_factor_rel_us,ln_h_rel_us,ln_yhat_with_A_rel_us,ln_yhat_without_A_rel_us,residual
BGR,Bulgaria,2010,0.0226,0.0533,0.6888,0.2353,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.689786370887827,37996.68508335553,2.6675673509895774,3.082859516143799,-1.1360419081549384,-0.10699246847588151,-0.31777114285566166,-0.1588855714278308,-0.18294901271666086,-0.44882705262037315,-0.34183458414449164,-0.6872148555345652
BHR,Bahrain,2010,0.317,0.134,0.4542,0.09480000000000001,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.2276708043848172,97669.52762447699,3.8557456306677436,2.2646985054016113,-0.19195121642431623,-0.29549768562759837,0.05062631196033718,0.025313155980168586,-0.49136495344743947,-0.7615494830948693,-0.4660517974672709,0.569598266670553
BLZ,Belize,2010,0.001,0.15960000000000002,0.7822,0.0572,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.4873306826704042,20878.56610117645,1.8626556720034182,3.2668745517730713,-1.7348177420866087,-0.18524412244342947,-0.6769348453990648,-0.33846742269953234,-0.12497286004305908,-0.6486844051860209,-0.4634402827425914,-1.0861333369005877
BOL,Bolivia (Plurinational State of),2010,0.1353135313531353,0.39533953395339533,0.24162416241624163,0.2277227722772277,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.368928335100679,11866.295142524625,2.1141190650876722,2.718721389770508,-2.2998387889420755,-0.23401656930843417,-0.550299887419942,-0.2751499437099709,-0.3086449008278389,-0.817811413846244,-0.5837948445378098,-1.4820273750958315
BRA,Brazil,2010,0.12369999999999999,0.3701,0.3932,0.113,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.2840240127743536,34024.6119183441,4.058285206484136,2.4733617305755615,-1.246456686734886,-0.27051543769679676,0.10182242599679947,0.05091121299839973,-0.4032283435144728,-0.6228325682128698,-0.35231713051607305,-0.6236241185220162
BRB,Barbados,2010,0.00020000000000000004,0.11310000000000002,0.8653000000000001,0.021400000000000006,1.0000000000000002,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.483990893969808,37378.10150764547,4.005728512805374,2.8000993728637695,-1.1524558176775574,-0.18658774471833484,0.08878736934213283,0.04439368467106641,-0.27915168646464283,-0.42134574651191126,-0.23475800179357642,-0.7311100711656462
BRN,Brunei Darussalam,2010,0.2061,0.1352,0.552,0.1067,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.351971306778284,177951.4845533093,3.4521667243505174,2.6969714164733887,0.4079701250243186,-0.24120041244624246,-0.059936025506758694,-0.029968012753379344,-0.3166771474902832,-0.587845572689905,-0.34664516024366254,0.9958156977142236
BWA,Botswana,2010,0.1573,0.0859,0.7158,0.040999999999999995,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.3686789230613186,37291.09430617313,4.574276616963895,2.7158873081207275,-1.154786289832849,-0.23412185960625753,0.22151047425357495,0.11075523712678746,-0.3096878763442875,-0.43305449882375757,-0.19893263921750004,-0.7217317910090914
CAF,Central African Republic,2010,0.5327,0.28669999999999995,0.16119999999999998,0.019399999999999997,0.9999999999999999,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,1.7702589505479487,2873.55507844333,3.7984751891514628,1.4683477878570557,-3.717990862925693,-0.525328407279602,0.03566162472926515,0.017830812364632572,-0.9246687784824185,-1.4321663733973877,-0.9068379661177859,-2.285824489528305
CAN,Canada,2010,0.0058,0.055,0.4625,0.4767,1.0,1.3231298123374369,1.8221188003905089,2.534509177617855,3.3201169227365472,2.9014628670189895,90123.13916210932,3.8116259981675618,3.65504789352417,-0.27236388133542455,-0.031239196199176256,0.03911777380873027,0.019558886904365132,-0.012697396645248826,-0.02437770594005995,0.006861490259116306,-0.2479861753953646
