countrycode,country,country_norm,country_barro_lee,year,rgdpo,emp,cn,hc,no_schooling_raw_pct,primary_total_raw_pct,secondary_total_raw_pct,tertiary_total_raw_pct,theta_no_schooling,theta_primary,theta_secondary,theta_tertiary,theta_sum,theta_sum_before_norm
NLD,Netherlands,netherlands,Netherlands,2010,843381.4375,8.814677238464355,3763100.75,3.2709224224090576,0.0,10.48,60.71,28.82,0.0,0.10478952104789521,0.607039296070393,0.28817118288171184,1.0,1.0001
NOR,Norway,norway,Norway,2010,408091.65625,2.5449225902557373,1254158.75,3.5749871730804443,5.85,0.28,64.52,29.36,0.0584941505849415,0.002799720027997201,0.6451354864513549,0.2935706429357064,1.0,1.0001
NPL,Nepal,nepal,Nepal,2010,57221.33203125,12.6196870803833,187521.46875,1.5591062307357788,50.58,22.04,24.03,3.35,0.5058000000000001,0.2204,0.24030000000000004,0.03350000000000001,1.0000000000000002,0.9999999999999999
NZL,New Zealand,new zealand,New Zealand,2010,152528.84375,2.186931610107422,447596.46875,3.203183889389038,0.14,35.16,27.89,36.81,0.0014000000000000002,0.35159999999999997,0.2789,0.36810000000000004,1.0,1.0
PAK,Pakistan,pakistan,Pakistan,2010,754368.875,53.119544982910156,1253401.375,1.7892049551010132,52.47,15.33,25.53,6.67,0.5246999999999999,0.1533,0.2553,0.0667,1.0,1.0
PAN,Panama,panama,Panama,2010,59501.83984375,1.455299973487854,143844.671875,2.7511157989501953,8.14,34.27,33.98,23.61,0.0814,0.3427,0.3398,0.2361,1.0,1.0
PER,Peru,peru,Peru,2010,293563.21875,14.223339080810547,785214.5625,2.6818907260894775,6.84,33.98,38.3,20.87,0.06840684068406841,0.33983398339833987,0.383038303830383,0.20872087208720874,1.0,0.9998999999999999
PHL,Philippines,philippines,Philippines,2010,546330.6875,36.147220611572266,1827379.75,2.5914340019226074,3.37,31.77,40.65,24.22,0.03369663033696631,0.3176682331766823,0.4064593540645935,0.24217578242175783,1.0,1.0001
POL,Poland,poland,Poland,2010,897993.375,15.326408386230469,1996998.375,3.230424642562866,0.29,18.02,60.55,21.13,0.0029002900290029,0.18021802180218022,0.6055605560556054,0.2113211321132113,0.9999999999999998,0.9999
PRT,Portugal,portugal,Portugal,2010,305685.21875,4.91168737411499,2162823.25,2.3612513542175293,11.76,46.32,29.2,12.72,0.1176,0.4632,0.292,0.1272,1.0,1.0
PRY,Paraguay,paraguay,Paraguay,2010,65605.7734375,2.677053689956665,231727.140625,2.3709867000579834,4.49,56.71,28.37,10.42,0.044904490449044904,0.5671567156715671,0.2837283728372837,0.10421042104210419,0.9999999999999999,0.9999000000000001
QAT,Qatar,qatar,Qatar,2010,256145.703125,1.2702000141143799,656942.5625,2.6398301124572754,3.9,43.51,33.78,18.8,0.039003900390039,0.4351435143514351,0.3378337833783378,0.18801880188018802,1.0,0.9999
ROU,Romania,romania,Romania,2010,378044.59375,8.712800025939941,1269982.625,3.0996644496917725,1.84,10.88,75.42,11.85,0.0184018401840184,0.10881088108810882,0.7542754275427542,0.1185118511851185,1.0,0.9999
RUS,Russian Federation,russian federation,Russian Federation,2010,3468686.25,70.37236785888672,13374047.0,3.2980799674987793,0.9,5.62,31.75,62.02,0.008973975471133712,0.05603749127530162,0.31658191245388373,0.6184066207996809,1.0,1.0029000000000001
RWA,Rwanda,rwanda,Rwanda,2010,16322.490234375,4.4824652671813965,24776.30859375,1.5950671434402466,53.2,38.42,6.96,1.42,0.5319999999999999,0.38419999999999993,0.06959999999999998,0.014199999999999996,0.9999999999999999,1.0000000000000002
SAU,Saudi Arabia,saudi arabia,Saudi Arabia,2010,1390218.375,8.93005084991455,3528118.75,2.5051259994506836,18.07,27.27,40.93,13.72,0.18071807180718072,0.2727272727272727,0.4093409340934093,0.13721372137213722,1.0,0.9999
SDN,Sudan,sudan,Sudan,2010,141242.984375,8.412276268005371,581822.0625,1.5208241939544678,55.73,29.12,12.39,2.76,0.5573,0.2912,0.12390000000000001,0.0276,1.0,1.0
SEN,Senegal,senegal,Senegal,2010,39352.828125,4.325661659240723,131108.203125,1.453606367111206,65.26,23.9,7.86,2.98,0.6526000000000001,0.239,0.0786,0.0298,1.0,1.0
SGP,Singapore,singapore,Singapore,2010,369290.46875,3.1083149909973145,1488260.375,3.060360908508301,16.39,7.41,39.23,36.97,0.16390000000000002,0.0741,0.3923,0.3697,1.0,1.0
SLE,Sierra Leone,sierra leone,Sierra Leone,2010,8106.5869140625,2.103102684020996,18040.591796875,1.506676435470581,65.14,19.2,14.34,1.31,0.6514651465146515,0.19201920192019203,0.14341434143414342,0.013101310131013103,1.0,0.9998999999999999
SLV,El Salvador,el salvador,El Salvador,2010,37411.19140625,2.4802632331848145,82054.71875,2.0186495780944824,4.22,54.09,34.91,6.78,0.042199999999999994,0.5409,0.34909999999999997,0.0678,1.0,1.0
SRB,Serbia,serbia,Serbia,2010,108497.65625,2.399261951446533,538484.875,3.133087396621704,3.25,10.27,70.18,16.3,0.0325,0.1027,0.7018000000000001,0.163,1.0,1.0
SVK,Slovakia,slovakia,Slovakia,2010,146741.875,2.190112590789795,484717.90625,3.612762928009033,0.26,0.74,81.72,17.28,0.0026,0.0074,0.8172,0.1728,1.0,1.0
